NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_ACTIVITY,int
(PALS)PINE FLATS CAMPGROUND VEGETATION MANAGEMENT PLAN,INT_CUT,2014-07-15,31.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)PINE FLATS CAMPGROUND VEGETATION MANAGEMENT PLAN,INT_CUT,2016-06-06,31.0,692 days 00:00:00.000000000,INT_CUT to INT_CUT,692
(PALS)PINE FLATS CAMPGROUND VEGETATION MANAGEMENT PLAN,INT_CUT,2019-04-29,39.0,1057 days 00:00:00.000000000,INT_CUT to INT_CUT,1057
(PALS)SOUTH PIONEER FIRE SALVAGE AND REFORESTATION PROJECT,EA-RH-FH,2017-09-28,276.0,0 days 00:00:00.000000000,EA-RH-FH initial,0
(PALS)SOUTH PIONEER FIRE SALVAGE AND REFORESTATION PROJECT,EA-RH-FH,2017-09-29,286.0,1 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,1
(PALS)SOUTH PIONEER FIRE SALVAGE AND REFORESTATION PROJECT,EA-RH-FH,2018-06-01,1796.0,245 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,245
(PALS)SOUTH PIONEER FIRE SALVAGE AND REFORESTATION PROJECT,EA-RH-FH,2018-09-20,2702.3,111 days 00:00:00.000000000,EA-RH-FH to EA-RH-FH,111
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2015-09-29,9.0,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2018-07-17,24.0,1022 days 00:00:00.000000000,INT_CUT to INT_CUT,1022
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2018-07-20,353.0,3 days 00:00:00.000000000,INT_CUT to INT_CUT,3
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2018-09-23,25.3,65 days 00:00:00.000000000,INT_CUT to INT_CUT,65
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2018-09-26,19.9,3 days 00:00:00.000000000,INT_CUT to INT_CUT,3
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2020-09-01,95.0,706 days 00:00:00.000000000,INT_CUT to INT_CUT,706
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2020-09-09,235.0,8 days 00:00:00.000000000,INT_CUT to INT_CUT,8
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,UA-RH-FH,2020-09-09,13.0,0 days 00:00:00.000000000,UA-RH-FH and INT_CUT same day,0
(PALS)HIGH VALLEY INTEGRATED RESTORATION PROJECT,INT_CUT,2019-10-18,197.6,0 days 00:00:00.000000000,INT_CUT initial,0
(PALS)HIGH VALLEY INTEGRATED RESTORATION PROJECT,UA-RH-FH,2019-10-18,197.6,0 days 00:00:00.000000000,UA-RH-FH and INT_CUT same day,0
(PALS)HIGH VALLEY INTEGRATED RESTORATION PROJECT,INT_CUT,2020-01-08,113.0,82 days 00:00:00.000000000,UA-RH-FH to INT_CUT,82
