NEPA_PROJECT,GEN_ACTIVITY,DATE_COMP,ACRES,SEQ_DAYS,SEQ_INT,GEN_ACT2
(PALS)PINE FLATS CAMPGROUND VEGETATION MANAGEMENT PLAN,INT_CUT,2014-07-15,31.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)PINE FLATS CAMPGROUND VEGETATION MANAGEMENT PLAN,INT_CUT,2016-06-06,31.0,692 days 00:00:00.000000000,692,INT_CUT
(PALS)PINE FLATS CAMPGROUND VEGETATION MANAGEMENT PLAN,INT_CUT,2019-04-29,39.0,1057 days 00:00:00.000000000,1057,INT_CUT
(PALS)SOUTH PIONEER FIRE SALVAGE AND REFORESTATION PROJECT,EA,2017-09-28,276.0,0 days 00:00:00.000000000,0,EA
(PALS)SOUTH PIONEER FIRE SALVAGE AND REFORESTATION PROJECT,EA,2017-09-29,286.0,1 days 00:00:00.000000000,1,EA
(PALS)SOUTH PIONEER FIRE SALVAGE AND REFORESTATION PROJECT,EA,2018-06-01,1796.0,245 days 00:00:00.000000000,245,EA
(PALS)SOUTH PIONEER FIRE SALVAGE AND REFORESTATION PROJECT,EA,2018-09-20,2702.3,111 days 00:00:00.000000000,111,EA
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2015-09-29,9.0,0 days 00:00:00.000000000,0,INT_CUT
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2018-07-17,24.0,1022 days 00:00:00.000000000,1022,INT_CUT
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2018-07-20,353.0,3 days 00:00:00.000000000,3,INT_CUT
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2018-09-23,25.3,65 days 00:00:00.000000000,65,INT_CUT
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2018-09-26,19.9,3 days 00:00:00.000000000,3,INT_CUT
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUT,2020-09-01,95.0,706 days 00:00:00.000000000,706,INT_CUT
(PALS)FINAL RECORD OF DECISION UPPER NORTH FORK HFRA ECOSYSTEM RESTORATION,INT_CUTUA,2020-09-09,248.0,8 days 00:00:00.000000000,8,INT_CUT-UA
(PALS)HIGH VALLEY INTEGRATED RESTORATION PROJECT,INT_CUTUA,2019-10-18,395.2,0 days 00:00:00.000000000,0,INT_CUT-UA
